ItemNum,Pic_Sent,Plaus_Implaus,Stimulus,List,img_name,banreti,nom,nom1_ap,nom2_ap,szórend
1,pic,plaus,01_plaus_cop_arrests_criminal.jpg,1,IMG_0160.JPG,,a gyanús alak ellenőrzése#a rendőr ellenőrzése,p,a,
1,pic,implaus,01_implaus_criminal_arrests_cop.jpg,2,IMG_0159.JPG,,a gyanús alak ellenőrzése#a rendőr ellenőrzése,a,p,
1,sent,plaus,The cop is arresting the criminal.,2,IMG_0160.JPG,A gyanús alakot ellenőrzi a rendőr.,a gyanús alak ellenőrzése#a rendőr ellenőrzése,p,a,OVS
1,sent,implaus,The criminal is arresting the cop.,1,IMG_0159.JPG,A rendőrt ellenőrzi a gyanús alak.,a gyanús alak ellenőrzése#a rendőr ellenőrzése,a,p,OVS
2,pic,plaus,02_plaus_babysitter_scolding_child.jpg,2,IMG_0162.JPG,,a nő szidása#a kisfiú szidása,a,p,
2,pic,implaus,02_implaus_child_scolding_babysitter.jpg,1,IMG_0161.JPG,,a nő szidása#a kisfiú szidása,p,a,
2,sent,plaus,The babysitter is scolding the child.,1,IMG_0162.JPG,A nő szidja a kisfiút.,a nő szidása#a kisfiú szidása,a,p,SVO
2,sent,implaus,The child is scolding the babysitter.,2,IMG_0161.JPG,A kisfiú szidja a nőt.,a nő szidása#a kisfiú szidása,p,a,SVO
3,pic,plaus,03_plaus_doctor_uses_stethoscope_on_patient.jpg,1,IMG_0164.JPG,,a férfi vizsgálása#a doktornő vizsgálása,p,a,
3,pic,implaus,03_implaus_patient_uses_stethoscope_on_doctor.jpg,2,IMG_0163.JPG,,a férfi vizsgálása#a doktornő vizsgálása,a,p,
3,sent,plaus,The doctor is using a stethoscope on the patient.,2,IMG_0164.JPG,A férfit vizsgálja a doktornő.,a férfi vizsgálása#a doktornő vizsgálása,p,a,OVS
3,sent,implaus,The patient is using a stethoscope on the doctor.,1,IMG_0163.JPG,A doktornőt vizsgálja a férfi.,a férfi vizsgálása#a doktornő vizsgálása,a,p,OVS
4,pic,plaus,04_plaus_fireman_rescuse_grandmother.jpg,2,IMG_0166.JPG,,a néni szállítása#a tűzoltó szállítása,p,a,
4,pic,implaus,04_implaus_grandmother_rescuse_fireman.jpg,1,IMG_0165.JPG,,a néni szállítása#a tűzoltó szállítása,a,p,
4,sent,plaus,The fireman is rescuing the grandmother.,1,IMG_0166.JPG,A tűzoltó szállítja a nénit.,a néni szállítása#a tűzoltó szállítása,p,a,SVO
4,sent,implaus,The grandmother is rescuing the fireman.,2,IMG_0165.JPG,A néni szállítja a tűzoltót.,a néni szállítása#a tűzoltó szállítása,a,p,SVO
5,pic,plaus,05_plaus_dentist_treating_patient.jpg,1,IMG_0168.JPG,,a srác kezelése#a fogorvos kezelése,p,a,
5,pic,implaus,05_implaus_patient_treating_dentist.jpg,2,IMG_0167.JPG,,a srác kezelése#a fogorvos kezelése,a,p,
5,sent,plaus,The dentist is treating the patient.,2,IMG_0168.JPG,A srácot kezeli a fogorvos.,a srác kezelése#a fogorvos kezelése,p,a,OVS
5,sent,implaus,The patient is treating the dentist.,1,IMG_0167.JPG,A fogorvost kezeli a srác.,a srác kezelése#a fogorvos kezelése,a,p,OVS
